caracteristica,importancia
y12,0.06668707135400226
y16,0.054124307979102323
y8,0.04723758594575799
y11,0.04269581336835295
y3,0.04143186087393622
y20,0.039461670770469866
y15,0.03756537966575815
y7,0.0336089558044073
y6,0.03262848133926674
y19,0.03221455790453362
y5,0.030005522945362753
y10,0.028536174978873324
y17,0.027934402541619913
y9,0.026742093770959728
y13,0.026678142414613634
y2,0.02367651876233
y0,0.022402672129581868
y1,0.020032748749912555
y14,0.01961954453429625
y4,0.017270625986860105
z20,0.0169332045305386
y18,0.01631813959696456
z0,0.015475691195077025
z16,0.014885576115544143
x4,0.013893355172491748
z19,0.013467495626897126
z14,0.010234204377658635
z10,0.009501371053878193
x12,0.009442254274020729
z17,0.009040335949569505
z2,0.009004678763250026
x19,0.008367818555302145
x16,0.0081985108866376
x18,0.008095488148492041
z18,0.00809538168330925
z15,0.0079127133220413
z4,0.007656370284847642
x20,0.007447515454515168
x1,0.007437677488239416
z13,0.0073992435608475895
z12,0.007388536135939853
x5,0.007325841227742311
x8,0.006840192862677209
x0,0.006800120036406992
z3,0.006678050836826852
x11,0.006643423374121713
x15,0.006144998848892815
z9,0.0058476926858873415
z1,0.005768084156501636
x9,0.005581346416385236
z6,0.005500383146321104
x10,0.005498668655088637
z5,0.004966528041635104
x2,0.004924864561916802
x13,0.004569406041637232
z11,0.00432847731516831
x6,0.004274275175527409
x17,0.003961856820352912
z8,0.00378419810687341
z7,0.0035907164232839186
x14,0.003538012575394691
x3,0.003477125486380442
x7,0.0032060432089180916
