caracteristica,importancia
y12,0.06548021623980053
y16,0.04949159831262039
y8,0.04840017496353909
y11,0.04536870587683357
y3,0.040428401830506895
y20,0.038454137244279644
y15,0.03823890204501318
y19,0.033384588813644325
y7,0.03326426335945031
y6,0.03161538519949356
y9,0.03153059926933211
y17,0.03007653904220726
y13,0.030030331536312054
y10,0.027188143271446308
y5,0.026383807541477417
y2,0.025184599121974852
y0,0.023475855148413882
y14,0.0191486949703587
y1,0.018127285781205853
y4,0.017848735073198747
z20,0.016753140422714977
y18,0.015882634932789002
z16,0.015287254806197512
z0,0.014761353906560394
x4,0.01447139553125648
z19,0.013346792269544891
z18,0.010155051267411385
z17,0.010026673554455917
z14,0.009836815428037896
z10,0.009802236655146802
x12,0.009763848796960305
z2,0.008804628291346326
x5,0.00790760487236929
x19,0.00787252209793058
x18,0.00779715956725489
x20,0.007634511815837957
z15,0.007432761069951764
x16,0.007406813202646555
x11,0.006953546646531302
z1,0.006906340313228625
z3,0.006869104176506603
z13,0.00683985970929525
z4,0.006801498277026144
z12,0.00676776296819589
x15,0.006751751978234811
x8,0.006278832774212662
z9,0.006166655477061564
x1,0.006067386273822517
x0,0.0059584922457009745
z5,0.005501580466442913
x10,0.005183530538446778
z6,0.005098783068271264
x9,0.004829330870584552
x13,0.0047869361740768305
z11,0.004715335289370331
x14,0.004467791176868937
x2,0.004365597201854329
x17,0.004198926038378687
x6,0.004077302990159062
x3,0.003767932126743805
z8,0.0031123430647622677
z7,0.002775112347322116
x7,0.002694104677380105
